ID;OE;NAME;PLZ;ORT;STRASSE;HA_ID;HA_KOO_W_XDez;HA_KOO_W_YDez;Logo
1;170;Filiale Dresden Am Altmarkt;1067;Dresden;Dr.-Külz-Ring 17;146120000139300017;13.73895;51.04765;OSD
2;204;Filiale Dresden Technische Universität;1069;Dresden;Weißbachstraße 2;146120000552000002;13.72913;51.02698;OSD
3;172;Filiale Dresden Am Goldenen Reiter;1097;Dresden;Hauptstraße 5;146120000228900005;13.74181;51.05919;OSD
4;184;Filiale Dresden Königsbrücker Straße;1099;Dresden;Königsbrücker Straße 20;146120000305000020;13.74732;51.06637;OSD
5;208;Filiale Dresden Weixdorf;1108;Dresden;Königsbrücker Landstraße 312;146120000304600312;13.80019;51.14505;OSD
6;182;Filiale Dresden Klotzsche;1109;Dresden;Karl-Marx-Straße 11;146120000281800011;13.77348;51.11304;OSD
7;183;Filiale Dresden Klotzsche-Königswald;1109;Dresden;Königsbrücker Landstraße 66b;146120000304000066B;13.78672;51.11554;OSD
8;179;Filiale Dresden Hellerau;1109;Dresden;Ludwig-Kossuth-Straße 61;146120000350900061;13.74555;51.11621;OSD
9;191;Filiale Dresden Mälzerei;1127;Dresden;Heidestraße 1-3;146120000234000001;13.72736;51.08172;OSD
10;175;Filiale Dresden Elbcenter;1127;Dresden;Leipziger Straße 116;146120000325600116;13.71796;51.07713;OSD
11;209;Filiale Dresden Wilder Mann;1129;Dresden;Dorothea-Erxleben-Straße 1a;146120000138800001A;13.72047;51.09358;OSD
12;174;Filiale Dresden Cossebaude;1156;Dresden;Dresdner Straße 22 a;146120000140500022A;13.63333;51.08741;OSD
13;173;Filiale Dresden Briesnitz;1157;Dresden;Gottfried-Keller-Straße 7;146120000201400007;13.67677;51.06195;OSD
14;189;Filiale Dresden Löbtau;1159;Dresden;Kesselsdorfer Straße 12;146120000288600012;13.70205;51.04386;OSD
15;177;Filiale Dresden Gorbitz im SACHSEN FORUM;1169;Dresden;Merianplatz 3;146120000369100003;13.66991;51.04513;OSD
16;194;Filiale Dresden Plauen;1187;Dresden;Nöthnitzer Straße 3-5;146120000391600003;13.70816;51.02912;OSD
17;203;Filiale Dresden Südvorstadt;1187;Dresden;Nürnberger Straße 28 d/e;146120000392700028D;13.72206;51.03364;OSD
18;176;Filiale Dresden Gittersee;1189;Dresden;Karlsruher Straße 90;146120000283800090;13.69269;51.01077;OSD
19;181;Filiale Dresden Kleinpestitz;1189;Dresden;Kohlenstraße 18;146120000302000018;13.72234;51.01944;OSD
20;211;Filiale Dresden Zschertnitz;1217;Dresden;Räcknitzhöhe 50/52;146120000428400050;13.74229;51.02332;OSD
21;188;Filiale Dresden Leubnitz-Neuostra;1219;Dresden;Klosterteichplatz 4;146120000300800004;13.76582;51.01226;OSD
22;201;Filiale Dresden Strehlen;1219;Dresden;Lockwitzer Straße 4;146120000341800004;13.75962;51.02737;OSD
23;196;Filiale Dresden Reick;1237;Dresden;Keplerstraße 32;146120000287800032;13.78329;51.01449;OSD
24;195;Filiale Dresden Prohlis;1239;Dresden;Jacob-Winter-Platz 13;146120000268600013;13.79652;51.00601;OSD
25;190;Filiale Dresden Lockwitz;1257;Dresden;Am Plan 1;146120000038800001;13.80649;50.98725;OSD
26;187;Filiale Dresden Leuben;1257;Dresden;Pirnaer Landstraße 147;146120000415200147;13.82860;51.01109;OSD
27;192;Filiale Dresden Niedersedlitz;1257;Dresden;Sosaer Straße 11;146120000489600011;13.82346;50.99978;OSD
28;210;Filiale Dresden Zschachwitz;1259;Dresden;Bahnhofstraße 73/75;146120000067900073;13.84027;51.00188;OSD
29;198;Filiale Dresden Seidnitz;1277;Dresden;Bodenbacher Straße 122;146120000094900122;13.80452;51.02569;OSD
30;202;Filiale Dresden Striesen;1277;Dresden;Lauensteiner Straße 34;146120000322700034;13.80309;51.04070;OSD
31;178;Filiale Dresden Gruna;1277;Dresden;Zwinglistraße 46;146120000593200046;13.78527;51.03566;OSD
32;186;Filiale Dresden Laubegast;1279;Dresden;Oesterreicher Straße 32;146120000401300032;13.83601;51.02646;OSD
33;180;Filiale Dresden Johannstadt;1307;Dresden;Fetscherstraße 32/34;146120000162000032;13.77265;51.04723;OSD
34;199;Filiale Dresden Sparkassenhaus;1307;Dresden;Güntzplatz 5;146120000214600005;13.75886;51.05403;OSD
35;205;Filiale Dresden Universitätsklinikum;1307;Dresden;Mildred-Scheel-Straße 4;146120000372300004;13.78428;51.05415;OSD
36;171;Filiale Dresden Am Blauen Wunder;1309;Dresden;Schillerplatz 12;146120000468400012;13.80753;51.05195;OSD
37;206;Filiale Dresden Weißer Hirsch;1324;Dresden;Bautzner Landstraße 6;146120000072900006;13.82180;51.06356;OSD
38;193;Filiale Dresden Pillnitz;1326;Dresden;Am Rathaus 1;146120000039900001;13.87335;51.01287;OSD
39;207;Filiale Dresden Weißig;1328;Dresden;Am Weißiger Bach 1;146120000047200001;13.88518;51.06237;OSD
40;197;Filiale Dresden Schönfeld;1328;Dresden;Markt 3;146120000359300003;13.89440;51.03328;OSD
41;285;Filiale Radeberg Hauptstraße;1454;Radeberg;Hauptstraße 19;146254800011800019;13.92143;51.11635;OSD
42;286;Filiale Radeberg Heidestraße;1454;Radeberg;Heidestraße 68;146254800012400068;13.90493;51.10882;OSD
43;282;Filiale Ottendorf-Okrilla;1458;Ottendorf-Okrilla;Poststraße 1;146254300015100001;13.82982;51.18561;OSD
44;185;Filiale Dresden Langebrück;1465;Dresden;Bruhmstraße 4 a;146120000107800004A;13.84015;51.12566;OSD
45;270;Filiale Arnsdorf;1477;Arnsdorf;Teichstraße 9;146250100010000009;13.98467;51.09359;OSD
46;230;Filiale Freital Weißeritz-Park;1705;Freital;An der Spinnerei 8;146281100007500008;13.62271;50.97697;OSD
47;227;Filiale Freital Pesterwitz;1705;Freital;Dresdner Straße 1;146281100016000001;13.65625;51.02701;OSD
48;228;Filiale Freital Potschappel;1705;Freital;Dresdner Straße 107;146281100016500107;13.65913;51.00867;OSD
49;229;Filiale Freital Zauckerode;1705;Freital;Glück-Auf-Straße 3a;146281100021100003A;13.63674;51.01500;OSD
