begin {Parameters}
Number of BasicAreas
705
Basic Area Type
Point
Metric
geodecimal
end {Parameters}

#Parameter ExtId	XPos	YPos	Activity
begin {BasicAreas}
0	8.3796	50.4232	92.67
1	8.2891	50.4368	48.36
2	7.0107	50.461	42.38
3	6.9431	50.3712	52.34
4	6.8933	50.3988	67.8
5	6.8178	50.4039	14.98
6	6.8604	50.3519	15.31
7	6.9119	50.3019	29.99
8	6.4532	50.4176	87.26
9	6.6955	50.4044	86.13
10	6.5101	50.3898	41.83
11	6.6415	49.7473	165.54
12	6.687	49.7743	160.19
13	6.671	49.8021	152.4
14	6.6079	49.7368	207.86
15	6.648	49.7454	149.62
16	6.6793	49.7314	160.88
17	6.564	49.8579	77.18
18	6.6308	49.8356	22.91
19	6.5245	49.7366	16.36
20	6.6051	49.8051	26.69
21	6.5115	49.8035	23.02
22	6.5762	49.7642	34.64
23	6.6805	49.8834	29.46
24	6.6949	49.592	39.25
25	6.7308	49.6725	40.4
26	6.784	49.7136	102
27	6.7273	49.767	16.96
28	6.7546	49.7449	20.65
29	6.5973	49.6773	173.81
30	6.5048	49.6946	18.03
31	6.537	49.696	20.91
32	6.7458	49.8391	62.95
33	6.8158	49.8309	80.49
34	6.7994	49.7697	24.33
35	6.7685	49.8618	25.32
36	6.728	49.8001	24.88
37	6.8288	49.7909	22.14
38	6.9116	49.8483	23.74
39	6.9161	49.8217	11.14
40	6.9504	49.6563	63.75
41	6.9414	49.6796	48.14
42	6.8845	49.6765	25.14
43	7.0395	49.6636	17.36
44	7.016	49.7552	22.27
45	6.9439	49.7737	47.73
46	6.8233	49.6277	18.88
47	6.7796	49.6147	34.47
48	6.4914	49.5844	83.11
49	6.4812	49.554	83.14
50	6.5484	49.5428	15.45
51	6.6274	49.5862	15.2
52	6.472	49.6383	18.52
53	6.6038	49.5665	14.27
54	6.5063	49.6592	24.29
55	6.4362	49.6078	13.78
56	6.6139	49.6434	13.91
57	7.0481	49.926	87.79
58	7.113	49.8729	57.42
59	7.1803	49.89	7.41
60	6.9819	49.9321	14.99
61	7.0288	49.8993	9.28
62	6.9722	49.8612	9.99
63	7.0443	49.973	36.09
64	7.0857	49.8057	112.46
65	6.9277	49.8619	20.25
66	6.9059	49.9918	178.04
67	6.8317	49.949	146.07
68	6.7931	49.879	21.69
69	6.8825	49.9053	12.64
70	6.7512	49.9968	21.86
71	6.8393	49.9284	23.07
72	6.6964	49.9838	8.65
73	6.8002	50.0942	26.67
74	6.725	50.0466	47.52
75	6.7992	50.0304	14.27
76	7.0929	49.9902	23.8
77	7.017	50.0285	50.22
78	7.0059	49.9773	9.98
79	6.8088	50.2044	87.5
80	6.8779	50.1861	98.38
81	6.922	50.1134	24.67
82	6.6498	50.2082	74.79
83	6.7491	50.1793	91.07
84	6.6206	50.1748	14.81
85	6.6674	50.2842	33.3
86	6.7073	50.3146	39.12
87	6.7575	50.3236	14.46
88	6.6224	50.3468	30.04
89	6.6027	50.365	5.53
90	6.567	50.3318	3.56
91	6.624	50.318	15.71
92	6.515	50.3342	17.31
93	6.4211	50.2152	78.46
94	6.4471	50.2108	109.25
95	6.5669	50.208	6.39
96	6.4262	50.3592	7.25
97	6.4768	50.1071	9.51
98	6.4533	50.1504	22.1
99	6.5328	49.9628	134.59
100	6.4127	49.9778	132.81
101	6.3928	49.9443	15.91
102	6.6414	49.9751	17.81
103	6.3629	50.0829	25.58
104	6.5995	50.0651	36.81
105	6.625	50.0067	22.75
106	6.6611	49.9392	44.71
107	6.6175	49.8966	10.82
108	6.4557	49.8424	13.67
109	6.4391	49.864	40.14
110	8.2742	50.0009	182.1
111	8.2585	50.0104	270.59
112	8.2282	50.0228	133.02
113	8.2384	50.0045	178.36
114	8.2052	50.0025	131.78
115	8.1742	49.9854	127.93
116	8.2109	49.9651	132.21
117	8.2316	49.9809	158.73
118	8.2621	49.9376	168.95
119	8.3125	49.9639	179.78
120	8.2727	49.9887	196.25
121	8.0612	49.9686	244.94
122	8.106	49.7654	183.94
123	7.9967	49.7429	177.96
124	8.0499	49.7895	36.64
125	8.1958	49.777	33.72
126	8.3086	50.0132	151.63
127	8.2845	50.0229	83.92
128	8.1756	50.0199	85.12
129	8.1216	50.0031	65.66
130	8.1277	49.9719	21.55
131	8.2054	49.9009	73.86
132	8.1503	49.9174	201.79
133	8.1454	49.9185	43.1
134	8.3508	49.8377	80.52
135	8.2889	49.8409	160.55
136	8.32	49.8751	71.91
137	8.1097	49.8388	81.46
138	8.1667	49.8412	86.01
139	8.1408	49.874	66.96
140	8.3132	49.9288	65.28
141	8.2854	49.9042	59.2
142	8.3313	49.9115	50
143	7.9379	49.9453	248.21
144	7.7953	49.9974	66.72
145	7.7259	50.051	24.24
146	7.8769	49.9431	28.53
147	7.8111	49.9592	32.83
148	7.6992	50.0848	44.94
149	7.6544	50.1065	13.85
150	8.0172	49.9476	62.84
151	8.0112	49.9193	50.96
152	7.7509	49.9642	43.61
153	7.7558	49.9461	48.61
154	7.8801	49.904	35.47
155	7.8122	49.9091	76.52
156	7.9512	49.8963	38.44
157	7.9946	49.9034	17.73
158	7.5564	50.0059	121.54
159	7.4697	50.0044	44.65
160	7.3964	49.9562	66.69
161	7.2531	49.8871	40.21
162	7.3297	49.915	50.1
163	7.4673	49.8813	29.58
164	7.2705	49.9137	23.81
165	7.6571	50.0099	60.19
166	7.6136	49.9547	15.83
167	7.6546	49.9765	10.34
168	7.5774	49.939	7.33
169	7.8767	49.8271	277.2
170	7.8516	49.8525	158.71
171	7.9158	49.8178	80.73
172	7.8927	49.8777	24.21
173	7.6165	49.7804	84.93
174	7.6645	49.7622	25.14
175	7.602	49.8119	24.93
176	7.7164	49.7589	18.01
177	7.9843	49.859	55.16
178	8.0531	49.8497	43.72
179	7.8247	49.8043	36.6
180	7.8412	49.7803	45.54
181	7.6725	49.7096	30.55
182	7.6162	49.7132	23.67
183	7.8049	49.8452	23.11
184	7.7197	49.8593	193.11
185	7.7022	49.8125	30.37
186	7.9721	49.821	46.31
187	7.9713	49.7979	53.34
188	7.5058	49.7843	149.47
189	7.4031	49.7815	19.83
190	7.5301	49.8205	20.29
191	7.4404	49.8297	13.04
192	7.5627	49.7194	4.23
193	7.3259	49.8618	31.28
194	7.3851	49.8447	10.38
195	7.5497	49.7899	23.1
196	7.5308	49.8573	11.87
197	7.3316	49.7235	370.21
198	7.3466	49.7838	9.51
199	7.3006	49.7701	160.5
200	7.1756	49.6476	86.02
201	7.1616	49.6619	90.95
202	7.198	49.6108	25.59
203	7.3857	49.6411	43.27
204	7.2814	49.6213	33.67
205	7.3041	49.5764	14.41
206	7.2411	49.6026	14.57
207	7.5953	50.3523	160.34
208	7.5708	50.3865	196.57
209	7.5294	50.3519	186.67
210	7.5566	50.3383	137.41
211	7.5598	50.3181	140.57
212	7.6327	50.3407	123.93
213	7.6491	50.3618	144.1
214	7.6706	50.2993	187.73
215	7.7222	50.338	104.2
216	7.7598	50.3362	41.86
217	7.69	50.338	13.1
218	7.563	50.2095	163.72
219	7.5981	50.4352	167.9
220	7.6266	50.4066	105.75
221	7.6375	50.3802	26.97
222	7.6204	50.4197	21.84
223	7.6824	50.4392	100.75
224	7.7048	50.4143	26.27
225	7.5025	50.3902	102.84
226	7.4452	50.372	138.14
227	7.7283	50.4606	76
228	7.3065	50.1625	23.9
229	7.3597	50.1985	14.61
230	7.5849	50.1551	64.24
231	7.5022	50.1739	55.05
232	7.4605	50.0727	100.21
233	7.4078	50.1287	69.72
234	7.5817	50.0922	52.22
235	7.3551	50.2432	42.53
236	7.3815	50.3062	21.79
237	7.3829	50.3493	52.18
238	7.59	50.2736	33.58
239	7.6397	50.2578	21
240	7.5397	50.2749	30.16
241	7.6832	50.1464	31.97
242	7.4485	50.3125	30.84
243	7.4389	50.2606	111.74
244	7.5123	50.3222	25.67
245	7.7055	50.3865	20.87
246	7.7152	50.3784	73.81
247	7.6793	50.2646	34.47
248	7.7157	50.2554	23.77
249	7.6334	50.2241	24.13
250	7.6944	50.1687	20.87
251	7.7461	50.1627	48.87
252	7.7796	50.0952	11.05
253	7.8121	50.2116	60.41
254	7.8262	50.1971	142.7
255	7.9537	50.2732	41.28
256	7.938	50.3076	57.36
257	7.815	50.3103	59.82
258	7.8496	50.3186	82.29
259	7.8051	50.4228	125.55
260	7.9149	50.4446	183.04
261	7.9256	50.4803	126.4
262	7.7765	50.4492	28.03
263	7.4665	50.4344	239.9
264	7.5259	50.4501	166.6
265	7.4605	50.4742	268.47
266	7.4545	50.417	74.39
267	7.37	50.4317	296.13
268	7.3625	50.3983	7.39
269	7.3803	50.3912	53.63
270	7.3191	50.3816	39.98
271	7.3183	50.4144	36.02
272	7.418	50.377	21.63
273	7.1827	50.4517	56.46
274	7.2343	50.4227	29.52
275	7.2699	50.4558	33.26
276	7.197	50.3202	208.35
277	7.1094	50.3276	123.74
278	7.2532	50.3467	28.75
279	7.265	50.3687	98.22
280	7.1722	50.3954	52.83
281	7.1042	50.4247	28.75
282	7.3076	50.2898	69.9
283	7.3123	50.2867	38.67
284	7.2643	50.2211	24.03
285	7.0803	50.2387	48.34
286	7.1627	50.2445	61.24
287	7.0007	50.2063	38.78
288	6.9916	50.2495	24.59
289	7.0043	50.2831	9.37
290	7.1767	50.1457	63.31
291	7.1309	50.0966	74.07
292	7.1826	50.1725	15.54
293	7.2091	50.0836	13.92
294	7.2352	50.1152	8.89
295	7.0857	50.181	11.62
296	7.0771	50.1289	24.25
297	7.0044	50.1232	18.17
298	7.0447	50.1808	8.34
299	7.2544	50.18	9.62
300	7.1139	49.9429	59.77
301	7.2033	49.9272	19.62
302	7.1676	49.9661	21.22
303	7.1991	50.0273	43.99
304	7.277	50.0694	54.9
305	7.1203	50.0582	25.13
306	7.0978	50.0201	12.14
307	7.1277	50.0324	9.74
308	7.0479	50.0842	10.85
309	7.2796	50.0411	29.53
310	7.1901	49.9973	9.87
311	7.3478	50.0531	12.13
312	8.3924	50.3301	63.69
313	8.4023	50.2164	53.63
314	8.4622	49.8341	200.5
315	8.2373	50.0851	123.55
316	8.2395	50.0762	112.57
317	8.2355	50.0633	220
318	8.2595	50.0735	138.78
319	8.2781	50.0947	180.43
320	8.2385	50.1127	168.68
321	8.2006	50.1069	210.57
322	8.2011	50.0822	291.21
323	8.1673	50.0918	204.96
324	8.1625	50.0603	151.58
325	8.2483	50.0378	220.75
326	8.3189	50.0527	204.05
327	8.3093	50.1095	209.21
328	8.1718	50.1578	281.92
329	8.3716	50.0286	162.89
330	8.0338	50.1356	109.11
331	7.9676	50.1716	79.91
332	8.09	50.2439	69.36
333	8.0955	50.1919	62.63
334	8.0933	50.0552	77.63
335	8.1243	50.0593	12.29
336	8.1072	50.0703	20.03
337	8.0535	50.0426	37.97
338	8.0421	50.0401	20.42
339	7.938	50.038	117.4
340	7.986	50.0475	118.85
341	7.8963	50.029	101.49
342	8.0501	50.0985	61.9
