begin {Parameters}
Number of BasicAreas
618
Basic Area Type
Point
Metric
geodecimal
end {Parameters}

#Parameter ExtId	XPos	YPos	Activity
begin {BasicAreas}
0	11.0643	51.6856	120.75
1	10.9757	51.5816	28.18
2	9.0416	51.7251	193.01
3	9.1763	51.7183	177.88
4	8.8301	51.7235	225.91
5	8.8779	51.6175	106.96
6	8.9385	51.7441	94.64
7	9.4906	51.317	118.59
8	9.4621	51.3199	177.83
9	9.4742	51.302	229.88
10	9.5252	51.2968	235.8
11	9.5346	51.3338	238.83
12	9.4925	51.3389	192.46
13	9.4199	51.341	196.86
14	9.435	51.3249	99.47
15	9.4013	51.3161	144.63
16	9.4087	51.2845	161.92
17	9.4596	51.2835	187.47
18	9.5964	51.1401	141
19	9.4035	51.2519	276.79
20	9.5439	51.3777	122.05
21	9.4628	51.3637	178.11
22	9.5548	51.2691	135.99
23	9.6122	51.2778	124.78
24	9.5838	51.318	100.87
25	9.323	51.2801	103.14
26	9.4892	51.2498	89.88
27	9.3657	51.199	88.13
28	9.6811	51.1202	67.96
29	9.2769	51.3659	69.46
30	9.396	51.367	82.69
31	9.3956	51.2246	73.01
32	9.694	51.2438	59.39
33	9.5106	51.2014	53.65
34	9.3069	51.2215	56.51
35	9.2568	51.2444	63.55
36	9.1841	51.2309	57.11
37	9.462	51.3964	48.83
38	9.3296	51.33	50.42
39	9.5737	51.2202	52.28
40	9.5018	51.0822	43.58
41	9.6173	51.0611	39.43
42	9.5384	51.1753	28.78
43	9.6602	51.3073	15.85
44	9.685	51.4584	258.37
45	9.6509	51.3459	87.39
46	9.5972	51.5061	53.74
47	9.4788	51.5282	167.55
48	9.4957	51.4356	72.25
49	9.3519	51.412	78.68
50	9.4449	51.6346	45.65
51	9.4273	51.5791	57.9
52	9.4132	51.4421	62.61
53	9.2846	51.501	37.28
54	9.5914	51.5908	37.68
55	9.089	51.514	241.3
56	8.836	51.4637	227.57
57	9.247	51.5902	98.51
58	9.0923	51.6049	90.17
59	9.0211	51.3598	168.41
60	9.1869	51.3279	133.63
61	9.1001	51.4123	70.73
62	8.99	51.4777	59.05
63	8.9554	51.3354	48.76
64	9.2055	51.4373	39.01
65	8.8449	51.2719	245.1
66	9.0348	51.2466	78.94
67	8.9002	51.1779	64.35
68	8.7944	51.3441	56.94
69	9.0866	51.0876	180.7
70	9.0818	51.1658	70.42
71	9.2755	51.1449	147.48
72	9.4051	51.0055	154.13
73	9.2767	51.0429	140.72
74	9.4463	51.1389	115.19
75	9.3462	51.0991	76.86
76	9.5091	50.9922	52.52
77	9.1544	51.0587	43.12
78	9.2304	51.0012	34.48
79	9.2068	50.9185	193.44
80	9.334	50.9565	82.68
81	9.3513	50.8748	75.34
82	9.2249	50.8628	53.6
83	9.0631	50.9519	36.47
84	9.1221	50.9918	28.75
85	9.3951	50.8096	26.25
86	9.2847	50.8337	33.7
87	9.4414	50.9059	12.63
88	8.7875	51.0719	191.21
89	8.8331	50.739	89.15
90	8.9147	51.1061	36.86
91	8.9795	51.0378	37.77
92	8.8227	50.9841	22.51
93	9.0218	50.8304	215.87
94	8.9153	50.8387	168.51
95	9.0882	50.8701	94.77
96	8.9127	50.9106	49.83
97	8.9477	50.9779	42.31
98	8.9197	50.773	47.73
99	8.926	50.935	25.71
100	8.9582	50.6228	141.64
101	9.0041	50.725	80.3
102	9.0179	50.5346	105.61
103	9.0414	50.627	102.69
104	9.182	50.5789	33.8
105	9.0793	50.6844	32.87
106	8.8983	50.477	128.11
107	8.8282	50.5076	133.52
108	8.8605	50.5892	105.47
109	8.8895	50.6712	56.64
110	9.6816	50.5585	134.89
111	9.6867	50.5928	184.79
112	9.6223	50.5658	127.44
113	9.6873	50.5272	176.28
114	9.7369	50.6684	159.62
115	9.7678	50.5234	159.91
116	9.7441	50.5878	143.71
117	9.5497	50.4192	86.45
118	9.5497	50.6872	102.86
119	9.9794	50.5353	80.29
120	9.5749	50.4696	116.7
121	9.7244	50.4641	103.05
122	9.9008	50.4495	64.94
123	9.8173	50.764	77.38
124	9.5435	50.5719	85.05
125	10.0148	50.6283	48.33
126	9.863	50.5782	60.69
127	9.6852	50.4112	63.05
128	9.6894	50.7084	66.72
129	9.5008	50.5162	46.24
130	9.7995	50.459	45.16
131	9.8205	50.5357	33.09
132	9.8881	50.4914	24.21
133	9.672	50.7639	32.02
134	9.8629	50.6592	27.91
135	9.8964	50.7157	18.33
136	9.8138	50.9798	156.18
137	9.7315	51.017	149.47
138	9.9391	51.0579	92.58
139	9.9823	50.954	53.56
140	9.66	51.0308	53.7
141	9.934	51.0051	33.37
142	9.8821	50.9375	25.99
143	9.8366	51.0547	18.71
144	9.6934	50.9046	369.88
145	9.9771	50.8923	84.42
146	9.971	50.849	48.31
147	9.6077	50.8007	56.13
148	9.563	50.847	40.42
149	9.825	50.8276	49.17
150	9.4607	50.8506	36.53
151	9.7331	50.824	34.3
152	9.9304	50.8144	35.16
153	9.5688	50.9112	32.28
154	9.4972	50.7775	20.44
155	9.8693	50.8812	24.48
156	9.3109	50.7611	180.29
157	9.3082	50.681	33.93
158	9.0986	50.7713	36.72
159	9.4311	50.7347	29.87
160	9.1745	50.6324	30.14
161	9.191	50.7961	22.28
162	9.2069	50.6969	30.83
163	9.369	50.6382	146.38
164	9.3491	50.4875	53.43
165	9.3693	50.5504	52.44
166	9.5056	50.6365	32.56
167	9.4578	50.6211	40.64
168	9.2934	50.5862	27.09
169	9.5664	50.3503	166.95
170	9.6508	50.2943	99.15
171	9.4606	50.3451	111.95
172	9.4057	50.4358	34.5
173	10.0431	50.7953	89.95
174	9.9873	50.7995	30.6
175	9.9748	50.707	74.49
176	10.2511	50.8284	251.32
177	10.3616	50.8256	87.61
178	10.1369	50.6628	64.25
179	10.3042	50.8007	36.26
180	10.1413	50.7644	39.83
181	10.1053	50.8506	79.73
182	10.1335	50.7084	42.59
183	10.1788	50.8449	39.7
184	9.9337	51.5342	136.62
185	9.9873	51.5404	147.98
186	9.9834	51.5702	148.12
187	9.8612	51.5446	160.81
188	9.9029	51.535	228.82
189	9.9445	51.5077	190.51
190	9.972	51.5225	246.98
191	10.2549	51.5185	232.85
192	9.9415	51.5946	132.34
193	9.8807	51.4672	114.61
194	9.7431	51.4857	96.6
195	10.0698	51.4752	91.62
196	9.9179	51.4392	93.47
197	10.1112	51.563	77.58
198	9.7387	51.5681	71.91
199	10.0023	51.7229	319.02
200	9.6401	51.6366	164.41
201	9.9543	51.637	85.81
202	9.8046	51.6555	85.93
203	9.8076	51.7002	74.74
204	10.0959	51.6718	76.25
205	9.535	51.6559	63.15
206	10.2326	51.644	43.9
207	10.1811	51.6557	19.87
208	9.8587	51.3506	73.6
209	9.9078	51.3353	13.5
210	9.8766	51.2999	20.98
211	9.807	51.3093	13.8
212	9.7369	51.325	33.1
213	9.8204	51.3845	10.7
214	9.7415	51.196	139.56
215	9.955	51.2757	94.54
216	9.7935	51.247	78.95
217	9.8906	51.3836	20.24
218	10.0362	51.1861	220.94
219	10.0713	51.2206	55.76
220	10.1706	51.1641	48.24
221	9.8647	51.1341	50.89
222	9.9981	51.1489	56.41
223	9.9129	51.1981	35.37
224	10.124	51.0305	31.65
225	10.0707	51.0919	34.92
226	9.9097	51.2381	18.42
227	10.1227	51.1193	12.9
228	10.1544	51.3207	286.79
229	10.032	51.3572	140.62
230	10.3093	51.3829	193
231	10.3406	51.4539	217.42
232	10.4433	51.5243	103.56
233	10.3022	51.3273	80.22
234	10.4296	51.3793	73.93
235	10.2495	51.2705	58.25
236	10.3569	51.6315	172.93
237	10.4382	51.609	124.2
238	10.1964	51.5961	146.98
239	10.5469	51.5893	86.66
240	10.5199	51.7141	24.53
241	10.6221	51.5798	25.83
242	10.5785	51.6306	17.28
243	10.6244	51.6238	13.79
244	10.3977	51.7051	262.94
245	9.6067	51.7542	118.09
246	9.3554	51.7721	332.73
247	9.3438	51.6782	156.57
248	9.4443	51.728	39.35
249	9.4061	51.6837	27.52
250	10.4199	51.7958	208.82
251	10.6071	51.7264	57.48
252	10.75	51.7324	64.54
253	10.728	51.662	25.89
